root, WNsense, synonyms, definition, Category
take,WID-02075857-V-??-take,"(take, make)","head into a specified direction; ""The escaped convict took to the hills""; ""We made for the mountains""",Not-a-Feeling
touch,WID-02075938-A-??-touched,"(fey, touched)",slightly insane,Physiological
slip,WID-02076280-V-??-slip,(slip),"move smoothly and easily; ""the bolt slipped into place""; ""water slipped from the polished marble""",Not-a-Feeling
slip,WID-02076501-V-??-slip,(slip),"cause to move with a smooth or sliding motion; ""he slipped the bolt into place""",Not-a-Feeling
empty,WID-02076676-V-??-empty,"(vacate, empty, abandon)","leave behind empty; move out of; ""You must vacate your office by tonight""",Not-a-Feeling
unsound,WID-02076817-A-??-unsound,"(mentally_ill, unsound, unstable)","suffering from severe mental illness; ""of unsound mind""",Physiological
expand,WID-02077148-V-??-expand,"(expand, spread_out)","extend in one or more directions; ""The dough expands""",Not-a-Feeling
paranoia,WID-02077157-A-??-paranoid,(paranoid),suffering from paranoia,Physiological
convey,WID-02077656-V-??-convey,"(bring, convey, take)","take something or somebody with oneself somewhere; ""Bring me the box from the other room""; ""Take these letters to the boss""; ""This brings me to the main point""",Not-a-Feeling
take,WID-02077656-V-??-take,"(bring, convey, take)","take something or somebody with oneself somewhere; ""Bring me the box from the other room""; ""Take these letters to the boss""; ""This brings me to the main point""",Not-a-Feeling
satiate,WID-02078011-A-??-satiate,"(satiate, satiated)",supplied (especially fed) to satisfaction,Physiological
jade,WID-02078153-A-??-jaded,(jaded),"dulled by surfeit; ""the amoral, jaded, bored upper classes""",Other
quench,WID-02078673-A-??-quenchless,"(quenchless, unquenchable)","impossible to quench; ""unquenchable thirst""",Not-a-Feeling
quench,WID-02078673-A-??-unquenchable,"(quenchless, unquenchable)","impossible to quench; ""unquenchable thirst""",Not-a-Feeling
satisfy,WID-02078788-A-??-unsatisfied,"(unsated, unsatiated, unsatisfied)",not having been satisfied,Wellbeing
insinuate,WID-02078855-V-??-insinuate,(insinuate),"introduce or insert (oneself) in a subtle manner; ""He insinuated himself into the conversation of the people at the nearby table""",Not-a-Feeling
convey,WID-02079933-V-??-convey,"(impart, conduct, transmit, convey, carry, channel)","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat""",Not-a-Feeling
impart,WID-02079933-V-??-impart,"(impart, conduct, transmit, convey, carry, channel)","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat""",Not-a-Feeling
transmit,WID-02079933-V-??-transmit,"(impart, conduct, transmit, convey, carry, channel)","transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat""",Not-a-Feeling
satisfactory,WID-02080577-A-??-satisfactory,(satisfactory),"giving satisfaction; ""satisfactory living conditions""; ""his grades were satisfactory""",Other
adequate,WID-02080937-A-??-adequate,"(adequate, passable, fair_to_middling, tolerable)","about average; acceptable; ""more than adequate as a secretary""",Other
fine,WID-02081114-A-??-fine,"(all_right, fine, o.k., ok, okay, hunky-dory)","being satisfactory or in satisfactory condition; ""an all-right movie""; ""the passengers were shaken up but are all right""; ""is everything all right?""; ""everything's fine""; ""things are okay""; ""dinner and the movies had been fine""; ""another minute I'd have been fine""",Wellbeing
ok,WID-02081114-A-??-ok,"(all_right, fine, o.k., ok, okay, hunky-dory)","being satisfactory or in satisfactory condition; ""an all-right movie""; ""the passengers were shaken up but are all right""; ""is everything all right?""; ""everything's fine""; ""things are okay""; ""dinner and the movies had been fine""; ""another minute I'd have been fine""",Wellbeing
okay,WID-02081114-A-??-okay,"(all_right, fine, o.k., ok, okay, hunky-dory)","being satisfactory or in satisfactory condition; ""an all-right movie""; ""the passengers were shaken up but are all right""; ""is everything all right?""; ""everything's fine""; ""things are okay""; ""dinner and the movies had been fine""; ""another minute I'd have been fine""",Wellbeing
cheer,WID-02081563-A-??-cheering,"(comforting, cheering, satisfying)",providing freedom from worry,Not-a-Feeling
comfort,WID-02081563-A-??-comforting,"(comforting, cheering, satisfying)",providing freedom from worry,Not-a-Feeling
satisfy,WID-02081563-A-??-satisfying,"(comforting, cheering, satisfying)",providing freedom from worry,Not-a-Feeling
strip,WID-02081795-V-??-outstrip,"(outdistance, outstrip, distance)","go far ahead of; ""He outdistanced the other runners""",Not-a-Feeling
bulge,WID-02081946-V-??-bulge,"(start, protrude, pop, pop_out, bulge, bulge_out, bug_out, come_out)","bulge outward; ""His eyes popped""",Not-a-Feeling
start,WID-02081946-V-??-start,"(start, protrude, pop, pop_out, bulge, bulge_out, bug_out, come_out)","bulge outward; ""His eyes popped""",Not-a-Feeling
right,WID-02082081-A-??-right,(right),"in or into a satisfactory condition; ""things are right again now""; ""put things right""",Wellbeing
accept,WID-02083053-A-??-unacceptable,(unacceptable),"not adequate to give satisfaction; ""the coach told his players that defeat was unacceptable""",Not-a-Feeling
rouse,WID-02083806-V-??-rouse,"(bestir, rouse)","become active; ""He finally bestirred himself""",Physiological
bookish,WID-02084101-A-??-bookish,"(bookish, studious)","characterized by diligent study and fondness for reading; ""a bookish farmer who always had a book in his pocket""; ""a quiet studious child""",Other
cur,WID-02084861-N-??-cur,"(cur, mongrel, mutt)",an inferior dog or one of mixed breed,Not-a-Feeling
religion,WID-02085740-A-??-religious,(religious),"extremely scrupulous and conscientious; ""religious in observing the rules of health""",Actions
conscientious,WID-02086115-A-??-conscientious,(conscientious),"guided by or in accordance with conscience or sense of right and wrong; ""a conscientious decision to speak out about injustice""",Actions
remove,WID-02086458-V-??-remove,"(remove, transfer)","shift the position or location of, as for business, legal, educational, or military purposes; ""He removed his children to the countryside""; ""Remove the troops to the forest surrounding the city""; ""remove a case to another court""",Not-a-Feeling
transfer,WID-02086458-V-??-transfer,"(remove, transfer)","shift the position or location of, as for business, legal, educational, or military purposes; ""He removed his children to the countryside""; ""Remove the troops to the forest surrounding the city""; ""remove a case to another court""",Not-a-Feeling
open,WID-02086879-A-??-unopened,(unopened),"not yet opened or unsealed; ""unopened Christmas presents""",Not-a-Feeling
pack,WID-02086963-V-??-pack,(pack),"fill to capacity; ""This singer always packs the concert halls""; ""The murder trial packed the court house""",Not-a-Feeling
open,WID-02087178-A-??-open,"(open, opened)","not sealed or having been unsealed; ""the letter was already open""; ""the opened package lay on the table""",Not-a-Feeling
certain,WID-02087342-A-??-certain,"(sealed, certain)","established irrevocably; ""his fate is sealed""",Not-a-Feeling
certain,WID-02087450-A-??-uncertain,"(unsealed, uncertain)","not established or confirmed; ""his doom is as yet unsealed""",Not-a-Feeling
change,WID-02088241-V-??-change,"(transfer, change)","change from one vehicle or transportation line to another; ""She changed in Chicago on her way to the East coast""",Not-a-Feeling
transfer,WID-02088241-V-??-transfer,"(transfer, change)","change from one vehicle or transportation line to another; ""She changed in Chicago on her way to the East coast""",Not-a-Feeling
conceal,WID-02088404-A-??-concealed,(concealed),"hidden on any grounds for any motive; ""a concealed weapon""; ""a concealed compartment in his briefcase""",Not-a-Feeling
dark,WID-02088883-A-??-dark,(dark),"secret; ""keep it dark""",Not-a-Feeling
sneak,WID-02088974-A-??-sneak,"(furtive, sneak, sneaky, stealthy, surreptitious)","marked by quiet and caution and secrecy; taking pains to avoid being observed; ""a furtive manner""; ""a sneak attack""; ""stealthy footsteps""; ""a surreptitious glance at his watch""",Not-a-Feeling
sneak,WID-02088974-A-??-sneaky,"(furtive, sneak, sneaky, stealthy, surreptitious)","marked by quiet and caution and secrecy; taking pains to avoid being observed; ""a furtive manner""; ""a sneak attack""; ""stealthy footsteps""; ""a surreptitious glance at his watch""",Actions
obscure,WID-02089377-A-??-obscure,"(hidden, obscure)","difficult to find; ""hidden valleys""; ""a hidden cave""; ""an obscure retreat""",Not-a-Feeling
sneak,WID-02090228-A-??-sneaking,"(sneaking, unavowed)","not openly expressed; ""a sneaking suspicion""",Not-a-Feeling
conceal,WID-02091020-A-??-concealing,(concealing),"covering or hiding; ""the concealing darkness""; ""concealing curtains prevented discovery""",Not-a-Feeling
indicate,WID-02091300-A-??-indicative,"(indicative, indicatory, revelatory, significative, suggestive)","(usually followed by `of') pointing out or revealing clearly; ""actions indicative of fear""",Not-a-Feeling
tread,WID-02091410-V-??-tread,"(step, tread)","put down or press the foot, place the foot; ""For fools rush in where angels fear to tread""; ""step on the brake""",Not-a-Feeling
sectarian,WID-02091574-A-??-sectarian,(sectarian),"belonging to or characteristic of a sect; ""a sectarian mind""; ""the negations of sectarian ideology""- Sidney Hook; ""sectarian squabbles in psychology""",Not-a-Feeling
run,WID-02092309-V-??-run,(run),"cause an animal to move fast; ""run the dogs""",Not-a-Feeling
secure,WID-02093305-A-??-secure,"(secure, unafraid, untroubled)","free from fear or doubt; easy in mind; ""he was secure that nothing will be held against him""",Actions
beat,WID-02093390-V-??-beat,"(beat, flap)","move with a flapping motion; ""The bird's wings were flapping""",Not-a-Feeling
secure,WID-02093493-A-??-insecure,(insecure),"lacking self-confidence or assurance; ""an insecure person lacking mental stability""",Other
beat,WID-02093610-V-??-beat,"(beat, flap)","move with a thrashing motion; ""The bird flapped its wings""; ""The eagle beat its wings and soared high into the sky""",Not-a-Feeling
secure,WID-02093888-A-??-secure,(secure),"free from danger or risk; ""secure from harm""; ""his fortune was secure""; ""made a secure place for himself in his field""",Actions
assure,WID-02094203-A-??-assured,(assured),"characterized by certainty or security; ""a tiny but assured income""; ""we can never have completely assured lives""",Actions
firm,WID-02094388-A-??-firm,(firm),"securely established; ""holds a firm position as the country's leading poet""",Other
shove,WID-02094569-V-??-shove,"(thrust, stuff, shove, squeeze)","press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand""",Not-a-Feeling
squeeze,WID-02094569-V-??-squeeze,"(thrust, stuff, shove, squeeze)","press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand""",Not-a-Feeling
sure,WID-02094633-A-??-sure,(sure),"physically secure or dependable; ""a sure footing""; ""was on sure ground""",Not-a-Feeling
secure,WID-02094755-A-??-insecure,"(insecure, unsafe)","lacking in security or safety; ""his fortune was increasingly insecure""; ""an insecure future""",Actions
safe,WID-02094755-A-??-unsafe,"(insecure, unsafe)","lacking in security or safety; ""his fortune was increasingly insecure""; ""an insecure future""",Actions
precarious,WID-02095037-A-??-precarious,"(precarious, shaky)","not secure; beset with difficulties; ""a shaky marriage""",Actions
shaky,WID-02095037-A-??-shaky,"(precarious, shaky)","not secure; beset with difficulties; ""a shaky marriage""",Actions
secure,WID-02095311-A-??-secure,(secure),"not likely to fail or give way; ""the lock was secure""; ""a secure foundation""; ""a secure hold on her wrist""",Actions
steady,WID-02095542-A-??-steady,(steady),"securely in position; not shaky; ""held the ladder steady""",Not-a-Feeling
tight,WID-02095670-A-??-tight,(tight),"securely or solidly fixed in place; rigid; ""the bolts are tight""",Not-a-Feeling
secure,WID-02095786-A-??-insecure,(insecure),"not firm or firmly fixed; likely to fail or give way; ""the hinge is insecure""",Actions
rip,WID-02098041-V-??-rip,(rip),"move precipitously or violently; ""The tornado ripped along the coast""",Not-a-Feeling
self,WID-02098325-A-??-selfish,(selfish),"concerned chiefly or only with yourself and your advantage to the exclusion of others; ""Selfish men were...trying to make capital for themselves out of the sacred cause of civil rights""- Maria Weston Chapman",Social
ego,WID-02098694-A-??-egotistical,"(egotistic, egotistical, narcissistic, self-loving)",characteristic of those having an inflated idea of their own importance,Other
self,WID-02099019-A-??-unselfish,(unselfish),disregarding your own advantages and welfare over those of others,Social
share,WID-02099651-A-??-sharing,(sharing),"unselfishly willing to share with others; ""a warm and sharing friend""",Not-a-Feeling
run,WID-02099829-V-??-run,(run),"move about freely and without restraint, or act as if running around in an uncontrolled way; ""who are these people running around in the building?""; ""She runs around telling everyone of her troubles""; ""let the dogs run free""",Not-a-Feeling
superior,WID-02100566-A-??-superior,"(ranking, superior, higher-ranking)","having a higher rank; ""superior officer""",Not-a-Feeling
junior,WID-02100709-A-??-junior,(junior),younger; lower in rank; shorter in length of tenure or service,Not-a-Feeling
whiff,WID-02100861-V-??-whiff,(whiff),"drive or carry as if by a puff of air; ""The gust of air whiffed away the clouds""",Not-a-Feeling
low,WID-02100968-A-??-lowly,"(junior-grade, lower-ranking, lowly, petty, secondary, subaltern)","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary""",Social
petty,WID-02100968-A-??-petty,"(junior-grade, lower-ranking, lowly, petty, secondary, subaltern)","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary""",Social
break,WID-02101373-V-??-break,(break),change directions suddenly,Not-a-Feeling
cut,WID-02101649-V-??-cut,(cut),"move (one's fist); ""his opponent cut upward toward his chin""",Not-a-Feeling
shock,WID-02101757-A-??-shocking,"(lurid, shocking)","glaringly vivid and graphic; marked by sensationalism; ""lurid details of the accident""",Not-a-Feeling
yellow,WID-02101942-A-??-yellow,"(scandalmongering, sensationalistic, yellow)","typical of tabloids; ""sensational journalistic reportage of the scandal""; ""yellow press""",Not-a-Feeling
travel,WID-02102002-V-??-travel,"(travel, move_around)","travel from place to place, as for the purpose of finding work, preaching, or acting as a judge",Not-a-Feeling
scream,WID-02102178-A-??-screaming,(screaming),"resembling a scream in effect; ""screaming headlines""; ""screaming colors and designs""",Not-a-Feeling
sensible,WID-02102484-A-??-sensible,"(sensible, sensitive)","able to feel or perceive; ""even amoeba are sensible creatures""; ""the more sensible parts of the skin""",Actions
sensitive,WID-02102484-A-??-sensitive,"(sensible, sensitive)","able to feel or perceive; ""even amoeba are sensible creatures""; ""the more sensible parts of the skin""",Actions
insensible,WID-02102796-A-??-insensible,(insensible),"incapable of physical sensation; ""insensible to pain""; ""insensible earth""",Physiological
wander,WID-02102840-V-??-wander,(wander),"go via an indirect route or at no set pace; ""After dinner, we wandered into town""",Not-a-Feeling
ascend,WID-02103021-V-??-ascend,(ascend),"go along towards (a river's) source; ""The boat ascended the Delaware""",Not-a-Feeling
pull,WID-02103162-V-??-pull,"(pull, draw)","cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense; ""A declining dollar pulled down the export figures for the last quarter""",Not-a-Feeling
numb,WID-02103333-A-??-benumbed,"(asleep, benumbed, numb)","lacking sensation; ""my foot is asleep""; ""numb with cold""",Physiological
numb,WID-02103333-A-??-numb,"(asleep, benumbed, numb)","lacking sensation; ""my foot is asleep""; ""numb with cold""",Physiological
sensitive,WID-02103481-A-??-sensitive,(sensitive),"responsive to physical stimuli; ""a mimosa's leaves are sensitive to touch""; ""a sensitive voltmeter""; ""sensitive skin""; ""sensitive to light""",Physiological
translate,WID-02103925-V-??-translate,(translate),subject to movement in which every part of the body moves parallel to and the same distance as every other point on the body,Not-a-Feeling
delicate,WID-02103982-A-??-delicate,(delicate),"of an instrument or device; capable of registering minute differences or changes precisely; ""almost undetectable with even the most delicate instruments""",Not-a-Feeling
hit,WID-02104161-V-??-hit,"(hit, strike)","drive something violently into a location; ""he hit his fist on the table""; ""she struck her head on the low ceiling""",Not-a-Feeling
excite,WID-02104277-A-??-excitable,"(excitable, irritable)",capable of responding to stimuli,Not-a-Feeling
irritable,WID-02104277-A-??-irritable,"(excitable, irritable)",capable of responding to stimuli,Not-a-Feeling
close,WID-02104503-V-??-close,(close),change one's body stance so that the forward shoulder and foot are closer to the intended point of impact,Not-a-Feeling
irritable,WID-02104600-A-??-irritable,(irritable),abnormally sensitive to a stimulus,Physiological
jump,WID-02105082-V-??-jump,"(jump, leap, jump_off)","jump down from an elevated point; ""the parachutist didn't want to jump""; ""every year, hundreds of people jump off the Golden Gate bridge""; ""the widow leapt into the funeral pyre""",Not-a-Feeling
respond,WID-02105176-A-??-responsive,"(reactive, responsive)","reacting to a stimulus; ""the skin of old persons is less reactive than that of younger persons""",Physiological
sensitive,WID-02105375-A-??-insensitive,(insensitive),"not responsive to physical stimuli; ""insensitive to radiation""",Physiological
slip,WID-02105549-V-??-slip,(slip),"move easily; ""slip into something comfortable""",Not-a-Feeling
dead,WID-02105603-A-??-dead,"(dead, deadened)","devoid of physical sensation; numb; ""his gums were dead from the novocain""; ""she felt no discomfort as the dentist drilled her deadened tooth""; ""a public desensitized by continuous television coverage of atrocities""",Physiological
dead,WID-02105603-A-??-deadened,"(dead, deadened)","devoid of physical sensation; numb; ""his gums were dead from the novocain""; ""she felt no discomfort as the dentist drilled her deadened tooth""; ""a public desensitized by continuous television coverage of atrocities""",Physiological
ascend,WID-02105657-V-??-ascend,"(ascend, climb_up)","appear to be moving upward, as by means of tendrils; ""the vine climbed up the side of the house""",Not-a-Feeling
sensitive,WID-02105990-A-??-sensitive,(sensitive),"being susceptible to the attitudes, feelings, or circumstances of others; ""sensitive to the local community and its needs""",Social
feel,WID-02106006-V-??-feel,"(feel, sense)","perceive by a physical sensation, e.g., coming from the skin or muscles; ""He felt the wind""; ""She felt an object brushing her arm""; ""He felt his flesh crawl""; ""She felt the heat when she got out of the car""",Not-a-Feeling
live,WID-02106366-A-??-alive,(alive),"(followed by `to' or `of') aware of; ""is alive to the moods of others""",Not-a-Feeling
perceive,WID-02106506-V-??-perceive,"(perceive, comprehend)","to become aware of through the senses; ""I could perceive the ship coming over the horizon""",Not-a-Feeling
touch,WID-02106509-A-??-touchy,"(huffy, thin-skinned, feisty, touchy)",quick to take offense,Social
sensitive,WID-02106761-A-??-insensitive,(insensitive),"deficient in human sensibility; not mentally or morally sensitive; ""insensitive to the needs of the patients""",Actions
callous,WID-02107162-A-??-callous,"(callous, indurate, pachydermatous)","emotionally hardened; ""a callous indifference to suffering""; ""cold-blooded and indurate to public opinion""",Other
indurate,WID-02107162-A-??-indurate,"(callous, indurate, pachydermatous)","emotionally hardened; ""a callous indifference to suffering""; ""cold-blooded and indurate to public opinion""",Other
dead,WID-02107386-A-??-dead,"(dead, numb)","(followed by `to') not showing human feeling or sensitivity; unresponsive; ""passersby were dead to our plea for help""; ""numb to the cries for mercy""",Social
numb,WID-02107386-A-??-numb,"(dead, numb)","(followed by `to') not showing human feeling or sensitivity; unresponsive; ""passersby were dead to our plea for help""; ""numb to the cries for mercy""",Social
hear,WID-02107442-V-??-hear,(hear),"receive a communication from someone; ""We heard nothing from our son for five years""",Not-a-Feeling
divine,WID-02107588-V-??-divine,(divine),perceive intuitively or through some inexplicable perceptive powers,Not-a-Feeling
dull,WID-02107634-A-??-dull,(dull),"blunted in responsiveness or sensibility; ""a dull gaze""; ""so exhausted she was dull to what went on about her""- Willa Cather",Physiological
insensible,WID-02107827-A-??-insensible,"(insensible, unaffected)","unaware of or indifferent to; ""insensible to the suffering around him""",Actions
get,WID-02108026-V-??-get,"(experience, receive, have, get)","go through (mental or physical states or experiences); ""get an idea""; ""experience vertigo""; ""get nauseous""; ""receive injuries""; ""have a feeling""",Not-a-Feeling
mastiff,WID-02108254-N-??-mastiff,(mastiff),an old breed of powerful deep-chested smooth-coated dog used chiefly as a watchdog and guard dog,Not-a-Feeling
undergo,WID-02108377-V-??-undergo,(undergo),"pass through; ""The chemical undergoes a sudden change""; ""The fluid undergoes shear""; ""undergo a strange sensation""",Not-a-Feeling
numb,WID-02108547-A-??-numbing,(numbing),"causing numbness or insensitivity; ""the numbing effect of grief""",Not-a-Feeling
get,WID-02108654-V-??-get,"(get, receive)","receive as a retribution or punishment; ""He got 5 years in prison""",Not-a-Feeling
hit,WID-02108791-V-??-hit,"(hit, strike, come_to)","cause to experience suddenly; ""Panic struck me""; ""An interesting idea hit her""; ""A thought came to me""; ""The thought struck terror in our minds""; ""They were struck with fear""",Not-a-Feeling
take,WID-02109045-V-??-take,(take),"experience or feel or submit to; ""Take a test""; ""Take the plunge""",Not-a-Feeling
endure,WID-02109190-V-??-endure,"(suffer, endure)","undergo or be subjected to; ""He suffered the penalty""; ""Many saints suffered martyrdom""",Not-a-Feeling
suffer,WID-02109190-V-??-suffer,"(suffer, endure)","undergo or be subjected to; ""He suffered the penalty""; ""Many saints suffered martyrdom""",Not-a-Feeling
tolerate,WID-02109404-V-??-tolerate,(tolerate),"have a tolerance for a poison or strong drug or pathogen or environmental condition; ""The patient does not tolerate the anti-inflammatory drugs we gave him""",Physiological
get,WID-02109645-V-??-get,"(catch, get)","suffer from the receipt of; ""She will catch hell for this behavior!""",Not-a-Feeling
separate,WID-02109678-A-??-separate,(separate),"independent; not united or joint; ""a problem consisting of two separate issues""; ""they went their separate ways""; ""formed a separate church""",Other
suffer,WID-02110082-V-??-suffer,"(suffer, meet)","undergo or suffer; ""meet a violent death""; ""suffer a terrible fate""",Not-a-Feeling
see,WID-02110220-V-??-see,"(experience, see, go_through)","go or live through; ""We had many trials to go through""; ""he saw action in Viet Nam""",Not-a-Feeling
isolate,WID-02110447-A-??-isolated,"(detached, isolated, separated, set-apart)","being or feeling set or kept apart from others; ""she felt detached from the group""; ""could not remain the isolated figure he had been""- Sherwood Anderson; ""thought of herself as alone and separated from the others""; ""had a set-apart feeling""",Social
feel,WID-02110552-V-??-feel,(feel),"undergo passive experience of:""We felt the effects of inflation""; ""her fingers felt their way through the string quartet""; ""she felt his contempt of her""",Not-a-Feeling
distinct,WID-02110778-A-??-distinct,"(discrete, distinct)","constituting a separate entity or part; ""a government with three discrete divisions""; ""on two distinct occasions""",Not-a-Feeling
enjoy,WID-02110793-V-??-enjoy,(enjoy),"have for one's benefit; ""The industry enjoyed a boom""",Not-a-Feeling
isolate,WID-02111095-A-??-isolated,"(disjunct, isolated)","marked by separation of or from usually contiguous elements; ""little isolated worlds, as abruptly disjunct and unexpected as a palm-shaded well in the Sahara""- Scientific Monthly",Not-a-Feeling
accompany,WID-02111486-A-??-unaccompanied,(unaccompanied),"(of a state or an event) taking place without something specified occurring at the same time; ""a headache unaccompanied by other symptoms""",Not-a-Feeling
clan,WID-02111981-A-??-clannish,(clannish),"characteristic of a clan especially in being unified; ""clannish loyalty""",Social
ventilate,WID-02112345-V-??-ventilate,(ventilate),"expose to the circulation of fresh air so as to retard spoilage; ""Wheat should be well ventilated""",Not-a-Feeling
sun,WID-02112546-V-??-sun,"(sun, insolate, solarize, solarise)","expose to the rays of the sun or affect by exposure to the sun; ""insolated paper may turn yellow and crumble""; ""These herbs suffer when sunned""",Not-a-Feeling
air,WID-02112891-V-??-air,"(air_out, air, aerate)","expose to fresh air; ""aerate your old sneakers""",Not-a-Feeling
health,WID-02112976-A-??-healthful,"(sanitary, healthful)","free from filth and pathogens; ""sanitary conditions for preparing food""; ""a sanitary washroom""",Physiological
poodle,WID-02113335-N-??-poodle,"(poodle, poodle_dog)",an intelligent dog with a heavy curly solid-colored coat that is usually clipped; an old breed sometimes trained as sporting dogs or as performing dogs,Not-a-Feeling
dirty,WID-02114296-A-??-dirty,"(dirty, pestiferous)","contaminated with infecting organisms; ""dirty wounds""; ""obliged to go into infected rooms""- Jane Austen",Not-a-Feeling
clean,WID-02116473-A-??-clean,"(uninfected, clean)","free from sepsis or infection; ""a clean (or uninfected) wound""",Physiological
work,WID-02116980-V-??-work,(work),"provoke or excite; ""The rock musician worked the crowd of young girls into a frenzy""",Not-a-Feeling
quicken,WID-02117534-V-??-quicken,"(whet, quicken)","make keen or more acute; ""whet my appetite""",Not-a-Feeling
hallucinate,WID-02117649-V-??-hallucinate,(hallucinate),perceive what is not there; have illusions,Not-a-Feeling
dream,WID-02118242-V-??-dream,(dream),"experience while sleeping; ""She claims to never dream""; ""He dreamt a strange scene""",Not-a-Feeling
serious,WID-02118379-A-??-serious,(serious),"concerned with work or important matters rather than play or trivialities; ""a serious student of history""; ""a serious attempt to learn to ski""; ""gave me a serious look""; ""a serious young man""; ""are you serious or joking?""; ""Don't be so serious!""",Other
earnest,WID-02118840-A-??-earnest,"(earnest, sincere, solemn)","characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message""",Actions
sincere,WID-02118840-A-??-sincere,"(earnest, sincere, solemn)","characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message""",Actions
solemn,WID-02118840-A-??-solemn,"(earnest, sincere, solemn)","characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message""",Actions
observe,WID-02118933-V-??-observe,"(note, take_note, observe)","observe with care or pay close attention to; ""Take note of this chemical reaction""",Social
graver,WID-02119213-A-??-grave,"(grave, sedate, sober, solemn)","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence""",Other
sedate,WID-02119213-A-??-sedate,"(grave, sedate, sober, solemn)","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence""",Other
sober,WID-02119213-A-??-sober,"(grave, sedate, sober, solemn)","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence""",Other
solemn,WID-02119213-A-??-solemn,"(grave, sedate, sober, solemn)","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence""",Other
ignore,WID-02119241-V-??-ignore,(ignore),fail to notice,Social
chafe,WID-02119659-V-??-chafe,"(chafe, gall, fret)",become or make sore by or as if by rubbing,Not-a-Feeling
real,WID-02119716-A-??-real,(real),"not to be taken lightly; ""statistics demonstrate that poverty and unemployment are very real problems""; ""to the man sleeping regularly in doorways homelessness is real""",Not-a-Feeling
itch,WID-02119874-V-??-itch,"(rub, scratch, itch)","scrape or rub as if to relieve itching; ""Don't scratch your insect bites!""",Not-a-Feeling
scratch,WID-02119874-V-??-scratch,"(rub, scratch, itch)","scrape or rub as if to relieve itching; ""Don't scratch your insect bites!""",Not-a-Feeling
tickle,WID-02120140-V-??-tickle,"(tickle, titillate, vellicate)","touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements",Physiological
titillate,WID-02120140-V-??-titillate,"(tickle, titillate, vellicate)","touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements",Physiological
solid,WID-02120276-A-??-solid,(solid),"of a substantial character and not frivolous or superficial; ""work of solid scholarship""; ""based on solid facts""",Other
bite,WID-02120451-V-??-bite,"(bite, sting, burn)","cause a sharp or stinging pain or discomfort; ""The sun burned his face""",Physiological
burn,WID-02120451-V-??-burn,"(bite, sting, burn)","cause a sharp or stinging pain or discomfort; ""The sun burned his face""",Physiological
sting,WID-02120451-V-??-sting,"(bite, sting, burn)","cause a sharp or stinging pain or discomfort; ""The sun burned his face""",Physiological
dizzy,WID-02120828-A-??-dizzy,"(airheaded, dizzy, empty-headed, featherbrained, giddy, light-headed, lightheaded, silly)","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles""",Actions
giddy,WID-02120828-A-??-giddy,"(airheaded, dizzy, empty-headed, featherbrained, giddy, light-headed, lightheaded, silly)","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles""",Other
lightheaded,WID-02120828-A-??-lightheaded,"(airheaded, dizzy, empty-headed, featherbrained, giddy, light-headed, lightheaded, silly)","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles""",Actions
silly,WID-02120828-A-??-silly,"(airheaded, dizzy, empty-headed, featherbrained, giddy, light-headed, lightheaded, silly)","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles""",Other
